years,returns
1,6.8
1,7.1
1,7.5
1,8.0
1,8.3
2,7.2
2,7.8
2,8.5
2,8.9
2,9.1
3,8.1
3,8.8
3,9.4
3,9.9
3,10.2
4,8.5
4,9.2
4,10.0
4,10.4
4,10.8
5,9.0
5,9.8
5,10.5
5,11.0
5,11.5
6,9.5
6,10.2
6,11.0
6,11.4
6,11.8
7,10.0
7,10.5
7,11.3
7,11.8
7,12.1
8,10.2
8,10.9
8,11.7
8,12.2
8,12.6
9,10.5
9,11.2
9,12.0
9,12.5
9,12.9
10,10.8
10,11.5
10,12.3
10,12.8
10,13.2
11,11.0
11,11.8
11,12.5
11,13.0
11,13.5
12,11.2
12,12.0
12,12.8
12,13.4
12,13.8
13,11.5
13,12.2
13,13.0
13,13.6
13,14.0
14,11.8
14,12.5
14,13.3
14,13.9
14,14.3
15,12.0
15,12.8
15,13.5
15,14.2
15,14.8
16,12.2
16,13.0
16,13.8
16,14.5
16,15.0
17,12.5
17,13.3
17,14.0
17,14.8
17,15.2
18,12.8
18,13.5
18,14.3
18,15.0
18,15.5
19,13.0
19,13.8
19,14.5
19,15.3
19,15.8
20,13.2
20,14.0
20,14.8
20,15.5
20,16.0
21,13.5
21,14.3
21,15.0
21,15.8
21,16.3
22,13.8
22,14.5
22,15.3
22,16.0
22,16.5
23,14.0
23,14.8
23,15.5
23,16.3
23,16.8
24,14.2
24,15.0
24,15.8
24,16.5
24,17.0
25,14.5
25,15.3
25,16.0
25,16.8
25,17.2
26,14.8
26,15.5
26,16.3
26,17.0
26,17.5
27,15.0
27,15.8
27,16.5
27,17.3
27,17.8
28,15.2
28,16.0
28,16.8
28,17.5
28,18.0
29,15.5
29,16.3
29,17.0
29,17.8
29,18.3
30,15.8
30,16.5
30,17.3
30,18.0
30,18.5
